Ticker,fiscalDateEnding,INCOME_STATEMENT_reportedCurrency,INCOME_STATEMENT_grossProfit,INCOME_STATEMENT_totalRevenue,INCOME_STATEMENT_costOfRevenue,INCOME_STATEMENT_costofGoodsAndServicesSold,INCOME_STATEMENT_operatingIncome,INCOME_STATEMENT_sellingGeneralAndAdministrative,INCOME_STATEMENT_researchAndDevelopment,INCOME_STATEMENT_operatingExpenses,INCOME_STATEMENT_investmentIncomeNet,INCOME_STATEMENT_netInterestIncome,INCOME_STATEMENT_interestIncome,INCOME_STATEMENT_interestExpense,INCOME_STATEMENT_nonInterestIncome,INCOME_STATEMENT_otherNonOperatingIncome,INCOME_STATEMENT_depreciation,INCOME_STATEMENT_depreciationAndAmortization,INCOME_STATEMENT_incomeBeforeTax,INCOME_STATEMENT_incomeTaxExpense,INCOME_STATEMENT_interestAndDebtExpense,INCOME_STATEMENT_netIncomeFromContinuingOperations,INCOME_STATEMENT_comprehensiveIncomeNetOfTax,INCOME_STATEMENT_ebit,INCOME_STATEMENT_ebitda,INCOME_STATEMENT_netIncome,BALANCE_SHEET_reportedCurrency,BALANCE_SHEET_totalAssets,BALANCE_SHEET_totalCurrentAssets,BALANCE_SHEET_cashAndCashEquivalentsAtCarryingValue,BALANCE_SHEET_cashAndShortTermInvestments,BALANCE_SHEET_inventory,BALANCE_SHEET_currentNetReceivables,BALANCE_SHEET_totalNonCurrentAssets,BALANCE_SHEET_propertyPlantEquipment,BALANCE_SHEET_accumulatedDepreciationAmortizationPPE,BALANCE_SHEET_intangibleAssets,BALANCE_SHEET_intangibleAssetsExcludingGoodwill,BALANCE_SHEET_goodwill,BALANCE_SHEET_investments,BALANCE_SHEET_longTermInvestments,BALANCE_SHEET_shortTermInvestments,BALANCE_SHEET_otherCurrentAssets,BALANCE_SHEET_otherNonCurrentAssets,BALANCE_SHEET_totalLiabilities,BALANCE_SHEET_totalCurrentLiabilities,BALANCE_SHEET_currentAccountsPayable,BALANCE_SHEET_deferredRevenue,BALANCE_SHEET_currentDebt,BALANCE_SHEET_shortTermDebt,BALANCE_SHEET_totalNonCurrentLiabilities,BALANCE_SHEET_capitalLeaseObligations,BALANCE_SHEET_longTermDebt,BALANCE_SHEET_currentLongTermDebt,BALANCE_SHEET_longTermDebtNoncurrent,BALANCE_SHEET_shortLongTermDebtTotal,BALANCE_SHEET_otherCurrentLiabilities,BALANCE_SHEET_otherNonCurrentLiabilities,BALANCE_SHEET_totalShareholderEquity,BALANCE_SHEET_treasuryStock,BALANCE_SHEET_retainedEarnings,BALANCE_SHEET_commonStock,BALANCE_SHEET_commonStockSharesOutstanding,CASH_FLOW_reportedCurrency,CASH_FLOW_operatingCashflow,CASH_FLOW_paymentsForOperatingActivities,CASH_FLOW_proceedsFromOperatingActivities,CASH_FLOW_changeInOperatingLiabilities,CASH_FLOW_changeInOperatingAssets,CASH_FLOW_depreciationDepletionAndAmortization,CASH_FLOW_capitalExpenditures,CASH_FLOW_changeInReceivables,CASH_FLOW_changeInInventory,CASH_FLOW_profitLoss,CASH_FLOW_cashflowFromInvestment,CASH_FLOW_cashflowFromFinancing,CASH_FLOW_proceedsFromRepaymentsOfShortTermDebt,CASH_FLOW_paymentsForRepurchaseOfCommonStock,CASH_FLOW_paymentsForRepurchaseOfEquity,CASH_FLOW_paymentsForRepurchaseOfPreferredStock,CASH_FLOW_dividendPayout,CASH_FLOW_dividendPayoutCommonStock,CASH_FLOW_dividendPayoutPreferredStock,CASH_FLOW_proceedsFromIssuanceOfCommonStock,CASH_FLOW_proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,CASH_FLOW_proceedsFromIssuanceOfPreferredStock,CASH_FLOW_proceedsFromRepurchaseOfEquity,CASH_FLOW_proceedsFromSaleOfTreasuryStock,CASH_FLOW_changeInCashAndCashEquivalents,CASH_FLOW_changeInExchangeRate,CASH_FLOW_netIncome
GOOG,2024-12-31,USD,54782000000,95395000000,40613000000,40613000000,30972000000,11768000000,13116000000,25297000000,None,1035000000,1088000000,51000000,95395000000,454000000,4205000000,None,32243000000,5707000000,53000000,26536000000,24964000000,30972000000,30972000000,26536000000,USD,450256000000,163711000000,23466000000,95657000000,None,52340000000,291396000000,171036000000,79390000000,31885000000,None,31885000000,181545000000,40248000000,72191000000,15714000000,14874000000,125172000000,89122000000,7987000000,11036000000,3534000000,2300000000,36050000000,1442000000,12000000000,999000000,10883000000,14300000000,64195000000,4694000000,325084000000,None,245084000000,None,12211000000,USD,39113000000,None,None,5789000000,3633000000,4618000000,14276000000,4570000000,None,26536000000,-16180000000,-19036000000,None,15551000000,15551000000,None,2442000000,2442000000,None,None,None,None,-15551000000,None,None,None,26536000000
GOOG,2024-09-30,USD,51875000000,88349000000,36474000000,36474000000,28521000000,10826000000,12447000000,23273000000,None,1189000000,1243000000,57000000,88349000000,70000000,3985000000,3985000000,31706000000,5405000000,54000000,26301000000,28085000000,28521000000,35745000000,26301000000,USD,430266000000,157541000000,19959000000,93230000000,None,49104000000,274978000000,161270000000,None,31935000000,None,31935000000,180393000000,38430000000,73271000000,15207000000,13867000000,116147000000,80803000000,7049000000,5911000000,3367000000,1000000000,35344000000,1417000000,10499000000,999000000,9500000000,879000000,63248000000,1453000000,314119000000,None,235317000000,82030000000,12264000000,USD,30698000000,None,None,-29000000,2233000000,3985000000,13061000000,1431000000,None,26301000000,-18011000000,-20094000000,None,15291000000,15291000000,None,2455000000,2455000000,None,None,None,None,-15291000000,None,None,None,26301000000
GOOG,2024-06-30,USD,49228000000,84735000000,35507000000,35507000000,27425000000,9950000000,11860000000,21810000000,None,1023000000,1090000000,43000000,84735000000,140000000,3708000000,3708000000,27551000000,3932000000,67000000,23619000000,23446000000,27425000000,31326000000,23619000000,USD,414770000000,161995000000,27225000000,100725000000,None,47087000000,255151000000,151155000000,72816000000,29185000000,None,29185000000,179152000000,36548000000,73500000000,14183000000,9699000000,114017000000,77913000000,6092000000,5236000000,918000000,0,36104000000,1362000000,8900000000,0,8900000000,-124000000,61418000000,1753000000,300753000000,None,226033000000,12322000000,12322000000,USD,26640000000,None,None,1800000000,3589000000,3708000000,13186000000,3057000000,None,23619000000,-2781000000,-20889000000,None,15684000000,15684000000,None,2466000000,2466000000,None,None,None,None,-15684000000,None,None,None,23619000000
GOOG,2024-03-31,USD,46662000000,80374000000,33712000000,33712000000,25472000000,9452000000,11903000000,21355000000,None,-94000000,1061000000,94000000,80468000000,255000000,3413000000,3413000000,28315000000,4653000000,94000000,23662000000,23225000000,28409000000,28885000000,23662000000,USD,407350000000,165471000000,24493000000,108090000000,None,44552000000,245279000000,143182000000,70004000000,29183000000,None,29183000000,200943000000,37394000000,83597000000,12829000000,10065000000,114506000000,76997000000,6198000000,4894000000,317000000,0,37509000000,1355000000,9000000000,0,9000000000,-127000000,59026000000,1683000000,292844000000,None,219770000000,12381000000,12381000000,USD,28848000000,None,None,-7319000000,-2167000000,3413000000,12012000000,-3167000000,None,23662000000,-8564000000,-19714000000,None,15696000000,15696000000,None,None,None,None,None,None,None,-15696000000,None,None,None,23662000000
GOOG,2023-12-31,USD,47494000000,85069000000,37575000000,37575000000,23697000000,12925000000,12113000000,26241000000,None,-69000000,1110000000,69000000,85138000000,-47000000,3316000000,1563000000,24412000000,3725000000,69000000,20687000000,23321000000,24481000000,25260000000,20687000000,USD,402392000000,171530000000,24048000000,110916000000,None,47964000000,233962000000,134345000000,67458000000,29198000000,None,29198000000,203704000000,34108000000,86868000000,12650000000,10051000000,119013000000,81814000000,7493000000,5048000000,1363000000,0,37199000000,1383000000,13000000000,1000000000,11870000000,14862000000,64645000000,4395000000,283379000000,None,211247000000,76534000000,12460000000,USD,18915000000,None,None,4579000000,5778000000,3316000000,11019000000,6518000000,5854000000,20687000000,-6167000000,-19308000000,None,16191000000,16191000000,None,None,None,None,None,None,None,-16191000000,None,None,None,20687000000
GOOG,2023-09-30,USD,43078000000,76307000000,33229000000,33229000000,21343000000,10863000000,11258000000,22223000000,None,-116000000,1066000000,116000000,76423000000,120000000,3171000000,3800000000,21197000000,1508000000,116000000,19689000000,18644000000,21313000000,25143000000,19689000000,USD,396711000000,176310000000,30702000000,119935000000,2957000000,41020000000,97154000000,125705000000,None,30979000000,1833000000,29146000000,209190000000,33365000000,89233000000,12398000000,7628000000,123509000000,86295000000,5803000000,5187000000,1400000000,0,37214000000,1914000000,10600000000,1000000000,9600000000,-133000000,68151000000,1433000000,273202000000,None,205647000000,74591000000,12541000000,USD,30656000000,None,None,4587000000,4445000000,3171000000,8055000000,2821000000,2136000000,19689000000,-7150000000,-18382000000,None,15787000000,15787000000,None,None,None,None,None,None,None,-15787000000,None,None,None,19689000000
GOOG,2023-06-30,USD,42467000000,74383000000,31916000000,31916000000,21838000000,10262000000,10588000000,20920000000,None,-43000000,892000000,43000000,74426000000,94000000,2824000000,4282000000,21903000000,3535000000,43000000,18368000000,18377000000,21946000000,26120000000,18368000000,USD,383044000000,168788000000,25929000000,118332000000,2231000000,38804000000,95440000000,121208000000,None,31176000000,1966000000,29210000000,214416000000,33616000000,92403000000,9421000000,6822000000,115903000000,77709000000,5313000000,4513000000,1317000000,0,38194000000,1841000000,11099000000,999000000,10100000000,-137000000,65887000000,1765000000,267141000000,None,200884000000,72248000000,12629000000,USD,28666000000,None,None,1762000000,3461000000,2824000000,6888000000,2948000000,130000000,18368000000,-10800000000,-17835000000,None,14969000000,14969000000,None,None,None,None,None,None,None,-14969000000,None,31000000,None,18368000000
GOOG,2023-03-31,USD,39074000000,69686000000,30612000000,30612000000,17415000000,10292000000,11468000000,24318000000,None,-80000000,797000000,80000000,69766000000,132000000,2635000000,4182000000,18205000000,3154000000,80000000,15051000000,16654000000,18285000000,21597000000,15051000000,USD,369491000000,161985000000,25924000000,115102000000,2315000000,36036000000,92466000000,117560000000,None,30962000000,1968000000,28994000000,208310000000,33733000000,89178000000,8532000000,6439000000,108597000000,68854000000,4184000000,4325000000,1371000000,0,39743000000,1836000000,11199000000,999000000,10200000000,-140000000,58330000000,2373000000,260894000000,None,196625000000,70269000000,12722000000,USD,23509000000,None,None,-5802000000,-3708000000,2635000000,6289000000,-4454000000,None,15051000000,-2946000000,-16568000000,None,14557000000,14557000000,None,None,None,None,None,None,None,-14557000000,None,3995000000,None,15051000000
GOOG,2022-12-31,USD,38949000000,74291000000,35342000000,35342000000,18160000000,12279000000,10267000000,22546000000,None,-90000000,659000000,90000000,74381000000,104000000,None,5126000000,17147000000,3523000000,90000000,13624000000,14873000000,17237000000,23286000000,13624000000,USD,365264000000,164795000000,21879000000,113762000000,2670000000,40258000000,202772000000,112668000000,59042000000,31044000000,2084000000,28960000000,212885000000,32795000000,91883000000,10775000000,8707000000,109120000000,69300000000,5128000000,4507000000,298000000,0,39820000000,1844000000,15312000000,0,9900000000,15312000000,51006000000,2247000000,256144000000,None,195563000000,68184000000,12849000000,USD,23614000000,None,None,3659000000,5393000000,4201000000,7595000000,4615000000,None,13624000000,-6227000000,-17629000000,None,15407000000,15407000000,None,None,None,None,None,None,None,-15407000000,None,-242000000,None,13624000000
GOOG,2022-09-30,USD,38262000000,69420000000,31158000000,31158000000,17135000000,10526000000,10273000000,20799000000,None,-101000000,615000000,101000000,69521000000,143000000,None,4759000000,16233000000,2323000000,101000000,13910000000,10886000000,16334000000,21894000000,13910000000,USD,358255000000,166109000000,21984000000,116259000000,3156000000,36176000000,85083000000,108363000000,None,31026000000,2192000000,28834000000,129424000000,31719000000,94275000000,10518000000,5670000000,104629000000,65979000000,6303000000,4179000000,414000000,0,38650000000,1799000000,14653000000,None,9700000000,-146000000,53806000000,2371000000,253626000000,None,196220000000,66258000000,12971000000,USD,23353000000,None,None,4229000000,2744000000,4046000000,7276000000,97000000,None,13910000000,-833000000,-18097000000,None,15392000000,15392000000,None,None,None,None,None,None,None,-15392000000,None,4423000000,None,13910000000
